session_start,session_type,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl,premium_component,hedge_component
2025-01-13 08:00:00+00:00,weekday,atm_call,93000.0,C,short,0.011,2025-01-14 00:00:00+00:00,1,94437.17,1437.1699999999983,398.3611299999984,0.011,0.0
2025-01-13 08:00:00+00:00,weekday,atm_put,93000.0,P,short,0.011,2025-01-14 00:00:00+00:00,1,94437.17,0.0,-1038.8088699999998,0.011,0.0
2025-01-13 08:00:00+00:00,weekday,otm_call,100000.0,C,long,0.0001,2025-01-14 00:00:00+00:00,1,94437.17,0.0,9.443717,0.0,0.0001
2025-01-13 08:00:00+00:00,weekday,otm_put,84000.0,P,long,0.0002,2025-01-14 00:00:00+00:00,1,94437.17,0.0,18.887434,0.0,0.0002
2025-01-20 08:00:00+00:00,weekday,atm_call,108000.0,C,short,0.0215,2025-01-21 00:00:00+00:00,1,101057.33,0.0,-2172.732595,0.0215,0.0
2025-01-20 08:00:00+00:00,weekday,atm_put,108000.0,P,short,0.019,2025-01-21 00:00:00+00:00,1,101057.33,6942.669999999998,5022.580729999998,0.019,0.0
2025-01-20 08:00:00+00:00,weekday,otm_call,122000.0,C,long,0.0016,2025-01-21 00:00:00+00:00,1,101057.33,0.0,161.691728,0.0,0.0016
2025-01-20 08:00:00+00:00,weekday,otm_put,92000.0,P,long,0.0002,2025-01-21 00:00:00+00:00,1,101057.33,0.0,20.211466,0.0,0.0002
2025-04-07 08:00:00+00:00,weekday,atm_call,76000.0,C,short,0.023,2025-04-08 00:00:00+00:00,1,79140.01,3140.0099999999948,1319.7897699999949,0.023,0.0
2025-04-07 08:00:00+00:00,weekday,atm_put,75000.0,P,short,0.0115,2025-04-08 00:00:00+00:00,1,79140.01,0.0,-910.110115,0.0115,0.0
2025-04-07 08:00:00+00:00,weekday,otm_call,86000.0,C,long,0.0003,2025-04-08 00:00:00+00:00,1,79140.01,0.0,23.742002999999997,0.0,0.0003
2025-04-07 08:00:00+00:00,weekday,otm_put,67000.0,P,long,0.0009,2025-04-08 00:00:00+00:00,1,79140.01,0.0,71.22600899999999,0.0,0.0009
